 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -32.651444          0.00          -393.302357          0.00            0.534835         -393.301505          0.00                2.95         
 CONF2        -32.650588          0.54          -393.301831          0.33            0.544070         -393.300964          0.34                1.66         
 CONF3        -32.650584          0.54          -393.301925          0.27            0.544506         -393.301057          0.28                1.84         
 CONF4        -32.650576          0.54          -393.301818          0.34            0.545593         -393.300948          0.35                1.64         
 CONF5        -32.650550          0.56          -393.302112          0.15            0.547057         -393.301240          0.17                2.23         
 CONF6        -32.649833          1.01          -393.300815          0.97            0.553460         -393.299933          0.99                0.56         
 CONF7        -32.649827          1.01          -393.300759          1.00            0.553418         -393.299877          1.02                0.53         
 CONF8        -32.649821          1.02          -393.300857          0.94            0.553343         -393.299975          0.96                0.58         
 CONF9        -32.649819          1.02          -393.301121          0.78            0.556142         -393.300234          0.80                0.77         
CONF10        -32.649816          1.02          -393.301115          0.78            0.556050         -393.300229          0.80                0.76         
CONF11        -32.649808          1.03          -393.301122          0.78            0.556236         -393.300235          0.80                0.77         
CONF12        -32.649807          1.03          -393.301099          0.79            0.556378         -393.300212          0.81                0.75         
CONF13        -32.649788          1.04          -393.301074          0.81            0.555959         -393.300188          0.83                0.73         
CONF14        -32.649787          1.04          -393.301009          0.85            0.557289         -393.300121          0.87                0.68         
CONF15        -32.649724          1.08          -393.300828          0.96            0.553564         -393.299946          0.98                0.57         
CONF16        -32.649719          1.08          -393.300824          0.96            0.553549         -393.299942          0.98                0.56         
CONF17        -32.649712          1.09          -393.300852          0.94            0.553716         -393.299969          0.96                0.58         
CONF18        -32.649711          1.09          -393.301009          0.85            0.553485         -393.300127          0.86                0.69         
CONF19        -32.649729          1.08          -393.301496          0.54            0.564044         -393.300597          0.57                1.13         
CONF20        -32.649727          1.08          -393.301652          0.44            0.565852         -393.300750          0.47                1.33         
CONF21        -32.649724          1.08          -393.301532          0.52            0.566365         -393.300630          0.55                1.17         
CONF22        -32.649705          1.09          -393.301022          0.84            0.557399         -393.300133          0.86                0.69         
CONF23        -32.649704          1.09          -393.301147          0.76            0.557014         -393.300259          0.78                0.79         
CONF24        -32.649693          1.10          -393.301123          0.77            0.556732         -393.300235          0.80                0.77         
CONF25        -32.649686          1.10          -393.301080          0.80            0.556647         -393.300192          0.82                0.74         
CONF26        -32.649685          1.10          -393.301063          0.81            0.556595         -393.300176          0.83                0.72         
CONF27        -32.649682          1.11          -393.300852          0.94            0.556543         -393.299965          0.97                0.58         
CONF28        -32.649681          1.11          -393.300924          0.90            0.558215         -393.300034          0.92                0.62         
CONF29        -32.649678          1.11          -393.300843          0.95            0.558206         -393.299954          0.97                0.57         
CONF30        -32.649682          1.11          -393.301075          0.80            0.556737         -393.300188          0.83                0.73         
CONF31        -32.649673          1.11          -393.301166          0.75            0.557451         -393.300278          0.77                0.80         
CONF32        -32.649670          1.11          -393.301041          0.83            0.558332         -393.300151          0.85                0.70         
CONF33        -32.649678          1.11          -393.301556          0.50            0.564862         -393.300656          0.53                1.20         
CONF34        -32.649678          1.11          -393.301523          0.52            0.565020         -393.300623          0.55                1.16         
CONF35        -32.649663          1.12          -393.300941          0.89            0.559853         -393.300049          0.91                0.63         
CONF36        -32.649655          1.12          -393.301096          0.79            0.559249         -393.300204          0.82                0.74         
CONF37        -32.649730          1.08          -393.301485          0.55            0.564313         -393.300586          0.58                1.12         
CONF38        -32.649581          1.17          -393.300975          0.87            0.550512         -393.300098          0.88                0.67         
CONF39        -32.649550          1.19          -393.300901          0.91            0.550626         -393.300023          0.93                0.61         
