 CONF#          E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1         -36.709151          0.07          -468.365525          0.88           -3.621302         -468.371296          0.99                0.36         
 CONF2         -36.709259          0.00          -468.366931          0.00           -3.516676         -468.372535          0.22                1.33         
 CONF3         -36.708603          0.41          -468.365941          0.62           -3.518354         -468.371548          0.84                0.47         
 CONF4         -36.708382          0.55          -468.364344          1.62           -3.640754         -468.370146          1.72                0.11         
 CONF5         -36.708333          0.58          -468.365234          1.06           -3.618348         -468.371000          1.18                0.26         
 CONF6         -36.708500          0.48          -468.365693          0.78           -3.487022         -468.371250          1.02                0.34         
 CONF7         -36.708297          0.60          -468.364971          1.23           -3.610789         -468.370725          1.35                0.20         
 CONF8         -36.708501          0.48          -468.365792          0.72           -3.487274         -468.371349          0.96                0.38         
 CONF9         -36.708296          0.60          -468.364575          1.48           -3.610050         -468.370328          1.60                0.13         
 CONF10        -36.708264          0.62          -468.365116          1.14           -3.605503         -468.370862          1.27                0.23         
 CONF11        -36.708435          0.52          -468.365793          0.71           -3.497238         -468.371366          0.95                0.39         
 CONF12        -36.708408          0.53          -468.365588          0.84           -3.511391         -468.371184          1.07                0.32         
 CONF13        -36.708412          0.53          -468.365770          0.73           -3.505362         -468.371356          0.96                0.38         
 CONF14        -36.708406          0.54          -468.365652          0.80           -3.504526         -468.371237          1.03                0.34         
 CONF15        -36.708402          0.54          -468.365470          0.92           -3.506764         -468.371058          1.14                0.28         
 CONF16        -36.708399          0.54          -468.365671          0.79           -3.508058         -468.371261          1.02                0.34         
 CONF17        -36.708389          0.55          -468.365609          0.83           -3.514536         -468.371210          1.05                0.33         
 CONF18        -36.708395          0.54          -468.365728          0.75           -3.509442         -468.371321          0.98                0.37         
 CONF19        -36.708367          0.56          -468.365404          0.96           -3.505295         -468.370990          1.19                0.26         
 CONF20        -36.708367          0.56          -468.365443          0.93           -3.501552         -468.371023          1.17                0.27         
 CONF21        -36.708395          0.54          -468.365820          0.70           -3.483989         -468.371372          0.95                0.39         
 CONF22        -36.708834          0.27          -468.366562          0.23           -3.032650         -468.371395          0.93                0.40         
 CONF23        -36.708237          0.64          -468.364366          1.61           -3.401257         -468.369787          1.94                0.07         
 CONF24        -36.707663          1.00          -468.363933          1.88           -3.631864         -468.369721          1.98                0.07         
 CONF25        -36.707844          0.89          -468.364723          1.39           -3.515332         -468.370325          1.60                0.13         
 CONF26        -36.707845          0.89          -468.364677          1.41           -3.514501         -468.370277          1.63                0.12         
 CONF27        -36.707727          0.96          -468.364236          1.69           -3.572509         -468.369930          1.85                0.08         
 CONF28        -36.706886          1.49          -468.365126          1.13           -4.098368         -468.371657          0.77                0.52         
 CONF29        -36.707825          0.90          -468.365669          0.79           -3.501794         -468.371249          1.02                0.34         
 CONF30        -36.707763          0.94          -468.364664          1.42           -3.537544         -468.370301          1.62                0.12         
 CONF31        -36.707759          0.94          -468.364770          1.36           -3.537228         -468.370407          1.55                0.14         
 CONF32        -36.707610          1.03          -468.364318          1.64           -3.605205         -468.370063          1.77                0.10         
 CONF33        -36.707735          0.96          -468.364731          1.38           -3.512364         -468.370328          1.60                0.13         
 CONF34        -36.707733          0.96          -468.364765          1.36           -3.509687         -468.370358          1.58                0.13         
 CONF35        -36.707587          1.05          -468.364034          1.82           -3.602117         -468.369774          1.95                0.07         
