#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              4.4186              4.4186              0.0535  
forward:               0.1000              2.2584              6.6770              0.0690  
forward:               0.1500              0.9408              7.6178              0.0713  
forward:               0.2000              0.3316              7.9494              0.0721  
forward:               0.2500              0.0637              8.0131              0.0725  
forward:               0.3000             -0.1259              7.8872              0.0728  
forward:               0.3500             -0.2135              7.6737              0.0732  
forward:               0.4000             -0.3002              7.3735              0.0734  
forward:               0.4500             -0.3530              7.0205              0.0737  
forward:               0.5000             -0.4077              6.6127              0.0738  
forward:               0.5500             -0.4777              6.1350              0.0740  
forward:               0.6000             -0.5818              5.5532              0.0742  
forward:               0.6500             -0.6580              4.8952              0.0743  
forward:               0.7000             -0.7057              4.1895              0.0744  
forward:               0.7500             -0.7553              3.4342              0.0746  
forward:               0.8000             -0.7865              2.6477              0.0747  
forward:               0.8500             -0.8126              1.8351              0.0748  
forward:               0.9000             -0.8291              1.0061              0.0749  
forward:               0.9500             -0.8558              0.1503              0.0751  
forward:               1.0000             -0.8713             -0.7210              0.0752  
backward:              1.0000              0.0000             -0.7210              0.0000  
backward:              0.9500              0.8685              0.1475              0.0056  
backward:              0.9000              0.8517              0.9992              0.0077  
backward:              0.8500              0.8321              1.8314              0.0091  
backward:              0.8000              0.8148              2.6462              0.0105  
backward:              0.7500              0.7871              3.4332              0.0117  
backward:              0.7000              0.7497              4.1830              0.0127  
backward:              0.6500              0.7114              4.8944              0.0138  
backward:              0.6000              0.6473              5.5417              0.0151  
backward:              0.5500              0.5810              6.1226              0.0163  
backward:              0.5000              0.4951              6.6177              0.0181  
backward:              0.4500              0.4022              7.0199              0.0195  
backward:              0.4000              0.3466              7.3665              0.0205  
backward:              0.3500              0.3004              7.6669              0.0215  
backward:              0.3000              0.2237              7.8906              0.0236  
