 CONF#         E (xTB)          ΔE (xTB)          E (DFT)          ΔE (DFT)        ΔGsolv (xTB)          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]           [kcal/mol]        [kcal/mol]           [Eh]           [kcal/mol]        % at 298.15 K     
CONF67        -32.505822          0.87          -427.982267          2.09           -1.519363         -427.984688          2.32                0.11         
CONF68        -32.505510          1.07          -427.983444          1.35           -1.689894         -427.986137          1.41                0.50         
CONF69        -32.505697          0.95          -427.981753          2.41           -1.568132         -427.984252          2.59                0.07         
CONF70        -32.505307          1.20          -427.979575          3.78           -1.806024         -427.982454          3.72                0.01         
CONF71        -32.505678          0.96          -427.981734          2.42           -1.569642         -427.984236          2.60                0.07         
CONF72        -32.505778          0.90          -427.982276          2.08           -1.506718         -427.984677          2.32                0.11         
CONF73        -32.505720          0.94          -427.982234          2.11           -1.542917         -427.984693          2.31                0.11         
CONF74        -32.505780          0.90          -427.982210          2.12           -1.504511         -427.984607          2.37                0.10         
CONF75        -32.505719          0.94          -427.982243          2.10           -1.543239         -427.984702          2.31                0.11         
CONF76        -32.505664          0.97          -427.981374          2.65           -1.574251         -427.983882          2.82                0.05         
CONF77        -32.505679          0.96          -427.981758          2.41           -1.564651         -427.984251          2.59                0.07         
CONF78        -32.505664          0.97          -427.981371          2.65           -1.573808         -427.983879          2.82                0.05         
CONF79        -32.505776          0.90          -427.982106          2.19           -1.503001         -427.984501          2.43                0.09         
CONF80        -32.505778          0.90          -427.982121          2.18           -1.501385         -427.984514          2.43                0.09         
CONF81        -32.505770          0.90          -427.982307          2.06           -1.499693         -427.984697          2.31                0.11         
CONF82        -32.505650          0.98          -427.981964          2.28           -1.573546         -427.984472          2.45                0.09         
CONF83        -32.505767          0.91          -427.982176          2.14           -1.499439         -427.984566          2.39                0.10         
CONF84        -32.505643          0.98          -427.981757          2.41           -1.575239         -427.984268          2.58                0.07         
CONF85        -32.505498          1.08          -427.983881          1.08           -1.662999         -427.986531          1.16                0.76         
CONF86        -32.505659          0.97          -427.981605          2.50           -1.558003         -427.984088          2.69                0.06         
CONF87        -32.505664          0.97          -427.981610          2.50           -1.553097         -427.984085          2.69                0.06         
CONF88        -32.505660          0.97          -427.981602          2.51           -1.551096         -427.984074          2.70                0.06         
CONF89        -32.505646          0.98          -427.981745          2.42           -1.554450         -427.984222          2.61                0.07         
CONF90        -32.505661          0.97          -427.981890          2.32           -1.543517         -427.984349          2.53                0.08         
CONF91        -32.505737          0.93          -427.982464          1.96           -1.493892         -427.984845          2.22                0.13         
CONF92        -32.505732          0.93          -427.982451          1.97           -1.495054         -427.984834          2.23                0.13         
CONF93        -32.505140          1.30          -427.979165          4.03           -1.854224         -427.982120          3.93                0.01         
CONF94        -32.505603          1.01          -427.981955          2.28           -1.562762         -427.984445          2.47                0.08         
CONF95        -32.505617          1.00          -427.982154          2.16           -1.537759         -427.984604          2.37                0.10         
CONF96        -32.505613          1.00          -427.981748          2.41           -1.539067         -427.984201          2.62                0.06         
CONF97        -32.505387          1.14          -427.983382          1.39           -1.677423         -427.986055          1.46                0.46         
CONF98        -32.505386          1.15          -427.983388          1.38           -1.678061         -427.986062          1.45                0.46         
CONF99        -32.505571          1.03          -427.981614          2.50           -1.560294         -427.984101          2.69                0.06         
CONF100       -32.505541          1.05          -427.981668          2.46           -1.570690         -427.984171          2.64                0.06         
CONF101       -32.505058          1.35          -427.980221          3.37           -1.869555         -427.983200          3.25                0.02         
CONF102       -32.505362          1.16          -427.983529          1.30           -1.675247         -427.986199          1.37                0.54         
CONF103       -32.505037          1.36          -427.980122          3.43           -1.878387         -427.983115          3.30                0.02         
CONF104       -32.505365          1.16          -427.983353          1.41           -1.667949         -427.986011          1.49                0.44         
CONF105       -32.505366          1.16          -427.983365          1.40           -1.668165         -427.986023          1.48                0.45         
CONF106       -32.505520          1.06          -427.981435          2.61           -1.565382         -427.983929          2.79                0.05         
CONF107       -32.505522          1.06          -427.981405          2.63           -1.563729         -427.983897          2.81                0.05         
CONF108       -32.505554          1.04          -427.982032          2.24           -1.540356         -427.984486          2.44                0.09         
CONF109       -32.505490          1.08          -427.981579          2.52           -1.580127         -427.984097          2.69                0.06         
CONF110       -32.505247          1.23          -427.980885          2.96           -1.728231         -427.983639          2.97                0.04         
CONF111       -32.505257          1.23          -427.980850          2.98           -1.722962         -427.983596          3.00                0.03         
CONF112       -32.505365          1.16          -427.983580          1.26           -1.650201         -427.986209          1.36                0.54         
CONF113       -32.505483          1.08          -427.981600          2.51           -1.561759         -427.984089          2.69                0.06         
CONF114       -32.505474          1.09          -427.981807          2.38           -1.554581         -427.984285          2.57                0.07         
CONF115       -32.505253          1.23          -427.983381          1.39           -1.677789         -427.986055          1.46                0.46         
CONF116       -32.505251          1.23          -427.983342          1.41           -1.678367         -427.986017          1.48                0.44         
CONF117       -32.505455          1.10          -427.981857          2.35           -1.544664         -427.984319          2.55                0.07         
CONF118       -32.505395          1.14          -427.981411          2.63           -1.571285         -427.983915          2.80                0.05         
CONF119       -32.505412          1.13          -427.981569          2.53           -1.553518         -427.984045          2.72                0.05         
CONF120       -32.505210          1.26          -427.983429          1.36           -1.679777         -427.986106          1.43                0.49         
CONF121       -32.505276          1.21          -427.983943          1.04           -1.639105         -427.986555          1.14                0.78         
CONF122       -32.505408          1.13          -427.981403          2.63           -1.551890         -427.983876          2.83                0.05         
CONF123       -32.505267          1.22          -427.984021          0.99           -1.635275         -427.986627          1.10                0.84         
CONF124       -32.505122          1.31          -427.983861          1.09           -1.736519         -427.986629          1.10                0.85         
CONF127       -32.505210          1.26          -427.983727          1.17           -1.650110         -427.986357          1.27                0.63         
CONF128       -32.505358          1.16          -427.981811          2.37           -1.553614         -427.984287          2.57                0.07         
