 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -60.392689          0.00          -1542.415908          0.80           -8.337248         -1542.429195          0.72                2.55         
 CONF2        -60.392676          0.01          -1542.416007          0.74           -8.320423         -1542.429266          0.67                2.75         
 CONF3        -60.392583          0.07          -1542.414420          1.74           -8.107934         -1542.427341          1.88                0.36         
 CONF4        -60.391814          0.55          -1542.413374          2.40           -8.217710         -1542.426470          2.43                0.14         
 CONF5        -60.391747          0.59          -1542.413453          2.35           -8.179217         -1542.426487          2.41                0.14         
 CONF6        -60.391406          0.81          -1542.415767          0.89           -8.291569         -1542.428981          0.85                2.03         
 CONF7        -60.391616          0.67          -1542.415730          0.92           -8.056642         -1542.428569          1.11                1.31         
 CONF8        -60.391325          0.86          -1542.414805          1.50           -8.109015         -1542.427728          1.64                0.54         
 CONF9        -60.390813          1.18          -1542.415340          1.16           -8.259111         -1542.428502          1.15                1.22         
CONF10        -60.390796          1.19          -1542.415572          1.02           -8.245119         -1542.428711          1.02                1.53         
CONF11        -60.390721          1.24          -1542.414584          1.64           -8.188269         -1542.427633          1.70                0.49         
CONF12        -60.390456          1.40          -1542.415384          1.13           -8.338735         -1542.428673          1.04                1.47         
CONF13        -60.390320          1.49          -1542.414018          1.99           -8.396098         -1542.427398          1.84                0.38         
CONF14        -60.390885          1.13          -1542.413843          2.10           -7.984412         -1542.426567          2.36                0.16         
CONF15        -60.390439          1.41          -1542.413922          2.05           -8.088655         -1542.426813          2.21                0.20         
CONF16        -60.390049          1.66          -1542.414787          1.51           -8.290175         -1542.427999          1.47                0.72         
CONF17        -60.389885          1.76          -1542.417191          0.00           -8.247855         -1542.430335          0.00                8.52         
CONF18        -60.388915          2.37          -1542.410452          4.23           -8.834511         -1542.424531          3.64                0.02         
CONF19        -60.390012          1.68          -1542.412795          2.76           -8.099015         -1542.425702          2.91                0.06         
CONF20        -60.388710          2.50          -1542.412320          3.06           -8.863467         -1542.426445          2.44                0.14         
CONF21        -60.389070          2.27          -1542.411206          3.76           -8.617661         -1542.424940          3.39                0.03         
CONF22        -60.388815          2.43          -1542.410087          4.46           -8.773726         -1542.424069          3.93                0.01         
CONF23        -60.389287          2.13          -1542.411425          3.62           -8.465492         -1542.424915          3.40                0.03         
CONF25        -60.389229          2.17          -1542.414094          1.94           -8.458970         -1542.427575          1.73                0.46         
CONF26        -60.389685          1.89          -1542.412739          2.79           -8.164443         -1542.425750          2.88                0.07         
CONF27        -60.389583          1.95          -1542.412899          2.69           -8.213251         -1542.425988          2.73                0.09         
CONF28        -60.389031          2.30          -1542.411951          3.29           -8.533668         -1542.425550          3.00                0.05         
CONF29        -60.389030          2.30          -1542.412048          3.23           -8.530341         -1542.425642          2.94                0.06         
