#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              2.4461              2.4461              0.0418  
forward:               0.1000              1.2568              3.7029              0.0491  
forward:               0.1500              0.5916              4.2946              0.0872  
forward:               0.2000              0.2525              4.5470              0.1174  
forward:               0.2500              0.0282              4.5753              0.1179  
forward:               0.3000             -0.0851              4.4901              0.1182  
forward:               0.3500             -0.1435              4.3466              0.1183  
forward:               0.4000             -0.2022              4.1443              0.1185  
forward:               0.4500             -0.2394              3.9050              0.1186  
forward:               0.5000             -0.2860              3.6189              0.1187  
forward:               0.5500             -0.3571              3.2618              0.1332  
forward:               0.6000             -0.6364              2.6254              0.1427  
forward:               0.6500             -1.0996              1.5258              0.1430  
backward:              1.0000              0.0000              1.5258              0.0000  
backward:              0.9500              2.3117              3.8375              0.0114  
backward:              0.9000              2.3744              6.2119              0.0141  
backward:              0.8500              2.4293              8.6412              0.0184  
backward:              0.8000              2.4414             11.0826              0.0224  
backward:              0.7500              2.4263             13.5088              0.0247  
backward:              0.7000              2.3151             15.8239              0.0269  
backward:              0.6500              2.0632             17.8871              0.0285  
backward:              0.6000              1.6139             19.5010              0.0309  
backward:              0.5500              1.1031             20.6041              0.0325  
backward:              0.5000              0.5701             21.1741              0.0336  
backward:              0.4500              0.2949             21.4690              0.0342  
backward:              0.4000              0.2700             21.7391              0.0348  
backward:              0.3500              0.2374             21.9765              0.0354  
