#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              2.4440              2.4440              0.0304  
forward:               0.1000              1.2019              3.6459              0.0382  
forward:               0.1500              0.5607              4.2065              0.0403  
forward:               0.2000              0.2315              4.4380              0.0413  
forward:               0.2500              0.0805              4.5185              0.0420  
forward:               0.3000             -0.0015              4.5169              0.0424  
forward:               0.3500             -0.0598              4.4572              0.0427  
forward:               0.4000             -0.0968              4.3604              0.0430  
forward:               0.4500             -0.1289              4.2315              0.0432  
forward:               0.5000             -0.1602              4.0713              0.0434  
forward:               0.5500             -0.2351              3.8362              0.0438  
forward:               0.6000             -0.4020              3.4342              0.0441  
forward:               0.6500             -0.5392              2.8950              0.0445  
forward:               0.7000             -0.6699              2.2251              0.0448  
forward:               0.7500             -0.7794              1.4457              0.0451  
forward:               0.8000             -0.8561              0.5896              0.0454  
forward:               0.8500             -0.9342             -0.3446              0.0458  
forward:               0.9000             -0.9837             -1.3284              0.0460  
forward:               0.9500             -1.0226             -2.3509              0.0462  
forward:               1.0000             -1.0446             -3.3956              0.0464  
backward:              1.0000              0.0000             -3.3956              0.0000  
backward:              0.9500              1.0386             -2.3570              0.0057  
backward:              0.9000              1.0062             -1.3507              0.0081  
backward:              0.8500              0.9862             -0.3645              0.0102  
backward:              0.8000              0.9284              0.5638              0.0119  
backward:              0.7500              0.8701              1.4339              0.0133  
backward:              0.7000              0.7793              2.2132              0.0147  
backward:              0.6500              0.6763              2.8895              0.0191  
backward:              0.6000              0.5655              3.4550              0.0204  
backward:              0.5500              0.4249              3.8799              0.0214  
backward:              0.5000              0.2536              4.1335              0.0364  
backward:              0.4500              0.1676              4.3011              0.0369  
backward:              0.4000              0.1413              4.4425              0.0373  
backward:              0.3500              0.1061              4.5486              0.0379  
backward:              0.3000              0.0613              4.6098              0.0389  
backward:              0.2500              0.0153              4.6251              0.0398  
backward:              0.2000             -0.0570              4.5681              0.0416  
backward:              0.1500             -0.1743              4.3938              0.0428  
backward:              0.1000             -0.4601              3.9337              0.0484  
backward:              0.0500             -1.1449              2.7887              0.0819  
