#========================================================================================
#                     Free energy perturbation    
#----------------------------------------------------------------------------------------
#forward/backward          λ              ΔΔA                 ΔA                  δε   
#                                                 
#----------------------------------------------------------------------------------------
forward:               0.0000              0.0000              0.0000              0.0000  
forward:               0.0500              2.1149              2.1149              0.0290  
forward:               0.1000              1.1734              3.2883              0.0365  
forward:               0.1500              0.5436              3.8319              0.0397  
forward:               0.2000              0.2605              4.0924              0.0428  
forward:               0.2500              0.1266              4.2190              0.0435  
forward:               0.3000              0.0433              4.2623              0.0439  
forward:               0.3500             -0.0089              4.2534              0.0442  
forward:               0.4000             -0.0463              4.2070              0.0445  
forward:               0.4500             -0.0785              4.1285              0.0448  
forward:               0.5000             -0.1008              4.0277              0.0450  
forward:               0.5500             -0.2056              3.8221              0.0454  
forward:               0.6000             -0.3849              3.4372              0.0459  
forward:               0.6500             -0.5431              2.8941              0.0467  
forward:               0.7000             -0.6945              2.1996              0.0471  
forward:               0.7500             -0.8056              1.3940              0.0474  
backward:              1.0000              0.0000              1.3940              0.0000  
backward:              0.9500              1.0161              2.4101              0.0058  
backward:              0.9000              0.9999              3.4100              0.0095  
backward:              0.8500              0.9826              4.3926              0.0122  
backward:              0.8000              0.9343              5.3270              0.0136  
backward:              0.7500              0.8922              6.2192              0.0149  
backward:              0.7000              0.8039              7.0230              0.0161  
backward:              0.6500              0.7050              7.7280              0.0172  
backward:              0.6000              0.5589              8.2869              0.0197  
backward:              0.5500              0.3848              8.6717              0.0207  
backward:              0.5000              0.2112              8.8829              0.0216  
backward:              0.4500              0.0971              8.9800              0.0224  
backward:              0.4000              0.0907              9.0706              0.0231  
backward:              0.3500              0.0398              9.1105              0.0245  
backward:              0.3000             -0.0069              9.1036              0.0261  
backward:              0.2500             -0.0452              9.0584              0.0275  
