 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -71.556749          0.00          -2494.357873          1.48           -9.787734         -2494.373471          1.81                0.20         
 CONF2        -71.555821          0.58          -2494.357571          1.67           -9.867884         -2494.373297          1.92                0.17         
 CONF3        -71.555749          0.63          -2494.357066          1.99           -9.890954         -2494.372829          2.21                0.10         
 CONF4        -71.554152          1.63          -2494.353331          4.33           -10.850109        -2494.370621          3.60                0.01         
 CONF5        -71.554027          1.71          -2494.353580          4.18           -10.913891        -2494.370973          3.38                0.01         
 CONF6        -71.553540          2.01          -2494.352958          4.57           -10.976949        -2494.370451          3.70                0.01         
 CONF7        -71.553088          2.30          -2494.354920          3.33           -11.246685        -2494.372843          2.20                0.10         
CONF14        -71.555191          0.98          -2494.358589          1.03           -9.700029         -2494.374047          1.45                0.37         
CONF15        -71.552458          2.69          -2494.353054          4.51           -11.395306        -2494.371213          3.23                0.02         
CONF16        -71.552144          2.89          -2494.352360          4.94           -11.591089        -2494.370831          3.47                0.01         
CONF17        -71.552372          2.75          -2494.353252          4.38           -11.441606        -2494.371486          3.06                0.02         
CONF19        -71.553511          2.03          -2494.354242          3.76           -10.688774        -2494.371276          3.19                0.02         
CONF20        -71.554316          1.53          -2494.354773          3.43           -10.040385        -2494.370773          3.50                0.01         
CONF21        -71.554524          1.40          -2494.355740          2.82           -9.828119         -2494.371402          3.11                0.02         
CONF23        -71.553152          2.26          -2494.355926          2.70           -10.669350        -2494.372929          2.15                0.11         
CONF24        -71.554142          1.64          -2494.355319          3.08           -9.999629         -2494.371254          3.20                0.02         
CONF27        -71.554092          1.67          -2494.354645          3.51           -9.998184         -2494.370578          3.62                0.01         
CONF29        -71.552788          2.49          -2494.353640          4.14           -10.794856        -2494.370843          3.46                0.01         
CONF30        -71.555071          1.05          -2494.357795          1.53           -9.339922         -2494.372679          2.31                0.09         
CONF31        -71.552811          2.47          -2494.354426          3.65           -10.682588        -2494.371450          3.08                0.02         
CONF32        -71.553983          1.74          -2494.356896          2.10           -9.933618         -2494.372726          2.28                0.09         
CONF33        -71.554491          1.42          -2494.355121          3.21           -9.614019         -2494.370442          3.71                0.01         
CONF34        -71.552218          2.84          -2494.357399          1.78           -11.031652        -2494.374979          0.86                0.99         
CONF35        -71.552249          2.82          -2494.357447          1.75           -11.007239        -2494.374988          0.86                1.00         
CONF36        -71.552212          2.85          -2494.357460          1.74           -11.031360        -2494.375039          0.83                1.06         
CONF37        -71.554226          1.58          -2494.356815          2.15           -9.745150         -2494.372345          2.52                0.06         
CONF38        -71.551771          3.12          -2494.354589          3.54           -11.243942        -2494.372508          2.41                0.07         
CONF39        -71.554015          1.72          -2494.356168          2.55           -9.819596         -2494.371817          2.85                0.03         
CONF42        -71.554327          1.52          -2494.356748          2.19           -9.597744         -2494.372043          2.71                0.04         
CONF43        -71.554333          1.52          -2494.356898          2.09           -9.589920         -2494.372181          2.62                0.05         
CONF45        -71.554034          1.70          -2494.356983          2.04           -9.755204         -2494.372529          2.40                0.07         
CONF46        -71.553358          2.13          -2494.357749          1.56           -10.161694        -2494.373943          1.51                0.33         
CONF47        -71.554114          1.65          -2494.355348          3.07           -9.674266         -2494.370765          3.51                0.01         
CONF48        -71.553422          2.09          -2494.357581          1.67           -10.102024        -2494.373680          1.68                0.25         
CONF49        -71.553274          2.18          -2494.357848          1.50           -10.204544        -2494.374110          1.41                0.40         
CONF54        -71.554019          1.71          -2494.357411          1.77           -9.659303         -2494.372804          2.23                0.10         
CONF56        -71.552913          2.41          -2494.357865          1.49           -10.317402        -2494.374307          1.28                0.49         
CONF66        -71.551549          3.26          -2494.353511          4.22           -11.046988        -2494.371116          3.29                0.02         
CONF69        -71.552629          2.58          -2494.357318          1.83           -10.378479        -2494.373857          1.57                0.30         
CONF70        -71.552039          2.96          -2494.353176          4.43           -10.722102        -2494.370263          3.82                0.01         
CONF75        -71.552508          2.66          -2494.357235          1.88           -10.403717        -2494.373814          1.59                0.29         
CONF76        -71.551169          3.50          -2494.353598          4.16           -11.220963        -2494.371480          3.06                0.02         
CONF80        -71.551511          3.29          -2494.352794          4.67           -10.915258        -2494.370188          3.87                0.01         
CONF81        -71.554088          1.67          -2494.358360          1.18           -9.283908         -2494.373154          2.01                0.14         
CONF82        -71.553971          1.74          -2494.358453          1.12           -9.333308         -2494.373327          1.90                0.17         
CONF83        -71.554104          1.66          -2494.358293          1.22           -9.247843         -2494.373030          2.09                0.13         
CONF84        -71.551707          3.16          -2494.353240          4.39           -10.723173        -2494.370329          3.78                0.01         
CONF85        -71.551755          3.13          -2494.353190          4.42           -10.690055        -2494.370226          3.85                0.01         
CONF86        -71.550381          4.00          -2494.355311          3.09           -11.547826        -2494.373714          1.66                0.26         
CONF87        -71.552026          2.96          -2494.357579          1.67           -10.501772        -2494.374315          1.28                0.49         
CONF88        -71.553522          2.03          -2494.358368          1.17           -9.535268         -2494.373564          1.75                0.22         
CONF89        -71.549948          4.27          -2494.356385          2.42           -11.765190        -2494.375134          0.77                1.17         
CONF90        -71.549907          4.29          -2494.356499          2.34           -11.784026        -2494.375278          0.68                1.37         
CONF91        -71.553006          2.35          -2494.357501          1.72           -9.829358         -2494.373165          2.00                0.15         
CONF92        -71.550441          3.96          -2494.353844          4.01           -11.432052        -2494.372062          2.69                0.05         
CONF93        -71.550527          3.90          -2494.353945          3.95           -11.381995        -2494.372083          2.68                0.05         
CONF94        -71.551868          3.06          -2494.357356          1.81           -10.521784        -2494.374123          1.40                0.40         
CONF95        -71.551933          3.02          -2494.356349          2.44           -10.468903        -2494.373033          2.08                0.13         
CONF96        -71.551938          3.02          -2494.356322          2.46           -10.465816        -2494.373001          2.10                0.12         
CONF97        -71.551843          3.08          -2494.357266          1.86           -10.516389        -2494.374025          1.46                0.36         
CONF98        -71.549205          4.73          -2494.355942          2.69           -12.162941        -2494.375325          0.65                1.43         
CONF99        -71.551328          3.40          -2494.353606          4.16           -10.830058        -2494.370865          3.44                0.01         
CONF102       -71.549359          4.64          -2494.354809          3.40           -12.043604        -2494.374001          1.48                0.35         
CONF103       -71.553751          1.88          -2494.358367          1.17           -9.282995         -2494.373161          2.00                0.14         
CONF104       -71.552928          2.40          -2494.356817          2.14           -9.793157         -2494.372424          2.47                0.07         
CONF107       -71.553787          1.86          -2494.358482          1.10           -9.235711         -2494.373200          1.98                0.15         
CONF110       -71.550459          3.95          -2494.354654          3.50           -11.251281        -2494.372584          2.37                0.08         
CONF111       -71.549883          4.31          -2494.352019          5.16           -11.601499        -2494.370508          3.67                0.01         
CONF112       -71.553801          1.85          -2494.358224          1.26           -9.140430         -2494.372791          2.24                0.10         
CONF113       -71.549428          4.59          -2494.352842          4.64           -11.872399        -2494.371762          2.88                0.03         
CONF115       -71.550948          3.64          -2494.353409          4.28           -10.908804        -2494.370793          3.49                0.01         
CONF116       -71.549923          4.28          -2494.356864          2.12           -11.472999        -2494.375147          0.76                1.19         
CONF117       -71.549811          4.35          -2494.353170          4.43           -11.537117        -2494.371556          3.01                0.03         
CONF119       -71.549908          4.29          -2494.354175          3.80           -11.450566        -2494.372423          2.47                0.07         
CONF121       -71.552138          2.89          -2494.356851          2.12           -10.033673        -2494.372841          2.20                0.10         
CONF122       -71.552677          2.56          -2494.356552          2.31           -9.674766         -2494.371969          2.75                0.04         
CONF123       -71.552682          2.55          -2494.357015          2.02           -9.658256         -2494.372406          2.48                0.07         
CONF125       -71.550942          3.64          -2494.355714          2.84           -10.702362        -2494.372769          2.25                0.10         
CONF128       -71.551980          2.99          -2494.357664          1.61           -10.016803        -2494.373627          1.71                0.24         
CONF129       -71.551850          3.07          -2494.357692          1.60           -10.093184        -2494.373776          1.62                0.28         
CONF130       -71.551862          3.07          -2494.358031          1.38           -10.091661        -2494.374113          1.41                0.40         
CONF131       -71.552560          2.63          -2494.356899          2.09           -9.624809         -2494.372237          2.58                0.05         
CONF133       -71.550443          3.96          -2494.352595          4.79           -10.932778        -2494.370017          3.98                0.01         
CONF134       -71.551361          3.38          -2494.354247          3.76           -10.352587        -2494.370745          3.52                0.01         
CONF135       -71.552428          2.71          -2494.357589          1.66           -9.676946         -2494.373010          2.10                0.12         
CONF136       -71.551642          3.20          -2494.357588          1.66           -10.151377        -2494.373765          1.62                0.28         
CONF137       -71.552806          2.47          -2494.358286          1.22           -9.420340         -2494.373298          1.92                0.17         
CONF138       -71.549992          4.24          -2494.353088          4.48           -11.164347        -2494.370879          3.44                0.01         
CONF139       -71.550008          4.23          -2494.353255          4.38           -11.153107        -2494.371029          3.34                0.02         
CONF140       -71.549881          4.31          -2494.353101          4.48           -11.223220        -2494.370986          3.37                0.01         
CONF141       -71.550057          4.20          -2494.353294          4.36           -11.112614        -2494.371003          3.36                0.01         
CONF144       -71.550145          4.14          -2494.355491          2.98           -11.053032        -2494.373105          2.04                0.14         
CONF146       -71.549941          4.27          -2494.355153          3.19           -11.146311        -2494.372916          2.16                0.11         
CONF147       -71.550784          3.74          -2494.354740          3.45           -10.616720        -2494.371659          2.95                0.03         
CONF148       -71.551964          3.00          -2494.356795          2.16           -9.874746         -2494.372532          2.40                0.07         
CONF149       -71.550615          3.85          -2494.354540          3.57           -10.713128        -2494.371613          2.98                0.03         
CONF150       -71.550606          3.85          -2494.354456          3.63           -10.718321        -2494.371537          3.02                0.03         
CONF151       -71.550624          3.84          -2494.354475          3.61           -10.705067        -2494.371535          3.02                0.03         
CONF152       -71.552222          2.84          -2494.357793          1.53           -9.679826         -2494.373219          1.97                0.15         
CONF153       -71.549891          4.30          -2494.354895          3.35           -11.175059        -2494.372703          2.29                0.09         
