 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF78        -56.763901          1.57          -2572.690282          1.27           -4.617365         -2572.697640          0.82                0.98         
CONF79        -56.765095          0.82          -2572.691590          0.45           -3.831217         -2572.697696          0.78                1.04         
CONF80        -56.764754          1.04          -2572.690469          1.15           -4.018773         -2572.696873          1.30                0.44         
CONF82        -56.764655          1.10          -2572.690591          1.08           -4.070287         -2572.697077          1.17                0.54         
CONF84        -56.762157          2.67          -2572.683953          5.24           -5.549482         -2572.692797          3.86                0.01         
CONF85        -56.764049          1.48          -2572.688617          2.31           -4.345421         -2572.695542          2.14                0.11         
CONF86        -56.763945          1.55          -2572.688418          2.44           -4.388662         -2572.695412          2.22                0.09         
CONF87        -56.764012          1.50          -2572.688604          2.32           -4.361086         -2572.695554          2.13                0.11         
CONF89        -56.762011          2.76          -2572.684051          5.18           -5.589298         -2572.692958          3.76                0.01         
CONF90        -56.762023          2.75          -2572.684035          5.19           -5.577863         -2572.692924          3.78                0.01         
CONF91        -56.762404          2.51          -2572.688214          2.57           -5.314689         -2572.696684          1.42                0.36         
CONF92        -56.762403          2.51          -2572.688127          2.62           -5.289657         -2572.696557          1.50                0.31         
CONF93        -56.762406          2.51          -2572.688096          2.64           -5.287970         -2572.696523          1.52                0.30         
CONF94        -56.762398          2.52          -2572.688138          2.61           -5.292486         -2572.696572          1.49                0.32         
CONF95        -56.762418          2.50          -2572.688101          2.64           -5.273401         -2572.696504          1.53                0.30         
CONF96        -56.762385          2.52          -2572.688137          2.62           -5.283963         -2572.696557          1.50                0.31         
CONF97        -56.762343          2.55          -2572.688045          2.67           -5.282323         -2572.696463          1.56                0.28         
CONF98        -56.762469          2.47          -2572.690373          1.21           -5.188416         -2572.698642          0.19                2.84         
CONF100       -56.762475          2.47          -2572.690017          1.44           -5.177939         -2572.698269          0.42                1.91         
CONF101       -56.764435          1.24          -2572.688355          2.48           -3.943999         -2572.694641          2.70                0.04         
CONF102       -56.764348          1.29          -2572.687915          2.75           -3.990475         -2572.694275          2.93                0.03         
CONF103       -56.764488          1.21          -2572.688509          2.38           -3.906564         -2572.694734          2.64                0.05         
CONF104       -56.760499          3.71          -2572.682850          5.93           -6.399789         -2572.693049          3.70                0.01         
CONF105       -56.760502          3.71          -2572.682831          5.94           -6.397939         -2572.693027          3.71                0.01         
CONF107       -56.762247          2.61          -2572.687510          3.01           -5.297259         -2572.695951          1.88                0.16         
CONF108       -56.760320          3.82          -2572.682355          6.24           -6.502536         -2572.692718          3.91                0.01         
CONF109       -56.762228          2.62          -2572.687489          3.02           -5.302844         -2572.695939          1.89                0.16         
CONF110       -56.762037          2.74          -2572.687473          3.03           -5.391024         -2572.696064          1.81                0.19         
CONF111       -56.762055          2.73          -2572.685208          4.45           -5.358884         -2572.693748          3.26                0.02         
CONF112       -56.762025          2.75          -2572.685081          4.53           -5.368742         -2572.693637          3.33                0.01         
CONF113       -56.760773          3.54          -2572.684074          5.17           -6.103006         -2572.693800          3.23                0.02         
CONF114       -56.760770          3.54          -2572.684226          5.07           -6.103828         -2572.693953          3.13                0.02         
CONF115       -56.760762          3.54          -2572.684192          5.09           -6.106173         -2572.693923          3.15                0.02         
CONF116       -56.761894          2.83          -2572.686006          3.95           -5.384528         -2572.694587          2.73                0.04         
CONF117       -56.760471          3.73          -2572.684368          4.98           -6.274351         -2572.694367          2.87                0.03         
CONF118       -56.760476          3.72          -2572.684313          5.01           -6.270487         -2572.694306          2.91                0.03         
CONF119       -56.764840          0.98          -2572.691716          0.37           -3.527874         -2572.697338          1.01                0.71         
CONF120       -56.760193          3.90          -2572.683050          5.81           -6.430873         -2572.693298          3.54                0.01         
CONF121       -56.760881          3.47          -2572.684781          4.72           -5.989766         -2572.694327          2.90                0.03         
CONF122       -56.760875          3.47          -2572.684762          4.73           -5.993292         -2572.694313          2.91                0.03         
CONF123       -56.760893          3.46          -2572.684850          4.68           -5.981640         -2572.694383          2.86                0.03         
CONF124       -56.760168          3.92          -2572.683294          5.65           -6.436548         -2572.693551          3.38                0.01         
CONF125       -56.760187          3.90          -2572.682605          6.09           -6.414959         -2572.692828          3.84                0.01         
CONF126       -56.760358          3.80          -2572.685739          4.12           -6.292189         -2572.695766          2.00                0.13         
CONF127       -56.760336          3.81          -2572.685706          4.14           -6.303648         -2572.695752          2.00                0.13         
CONF128       -56.760380          3.78          -2572.685675          4.16           -6.277967         -2572.695680          2.05                0.12         
CONF129       -56.762212          2.63          -2572.686211          3.82           -5.120700         -2572.694371          2.87                0.03         
CONF130       -56.762190          2.65          -2572.686377          3.72           -5.134151         -2572.694559          2.75                0.04         
CONF131       -56.760401          3.77          -2572.685775          4.10           -6.253354         -2572.695740          2.01                0.13         
CONF132       -56.762058          2.73          -2572.687689          2.90           -5.209819         -2572.695991          1.85                0.17         
CONF133       -56.762057          2.73          -2572.687748          2.86           -5.208985         -2572.696049          1.82                0.18         
CONF134       -56.762080          2.72          -2572.687812          2.82           -5.192084         -2572.696086          1.79                0.19         
CONF135       -56.760435          3.75          -2572.685576          4.22           -6.221172         -2572.695490          2.17                0.10         
CONF136       -56.760350          3.80          -2572.683617          5.45           -6.271689         -2572.693611          3.35                0.01         
CONF137       -56.760342          3.81          -2572.683649          5.43           -6.274108         -2572.693647          3.32                0.01         
CONF138       -56.760330          3.81          -2572.683660          5.42           -6.282597         -2572.693672          3.31                0.01         
CONF139       -56.761792          2.90          -2572.688234          2.55           -5.363861         -2572.696782          1.36                0.40         
CONF140       -56.761804          2.89          -2572.688255          2.54           -5.356713         -2572.696791          1.35                0.40         
CONF141       -56.760349          3.80          -2572.683499          5.53           -6.265667         -2572.693484          3.43                0.01         
CONF142       -56.761825          2.88          -2572.688560          2.35           -5.324601         -2572.697045          1.19                0.52         
CONF143       -56.764620          1.12          -2572.689597          1.70           -3.556964         -2572.695265          2.31                0.08         
CONF144       -56.761784          2.90          -2572.684894          4.65           -5.322441         -2572.693376          3.49                0.01         
CONF145       -56.761821          2.88          -2572.685220          4.45           -5.297083         -2572.693661          3.32                0.01         
CONF146       -56.761829          2.87          -2572.685172          4.48           -5.288653         -2572.693600          3.35                0.01         
CONF147       -56.761273          3.22          -2572.686794          3.46           -5.639515         -2572.695781          1.99                0.14         
CONF149       -56.762464          2.47          -2572.685346          4.37           -4.872641         -2572.693111          3.66                0.01         
CONF150       -56.764238          1.36          -2572.689733          1.61           -3.751711         -2572.695712          2.03                0.13         
CONF151       -56.759428          4.38          -2572.681881          6.54           -6.746828         -2572.692633          3.96                0.00         
CONF156       -56.762299          2.58          -2572.688455          2.42           -4.926352         -2572.696305          1.66                0.24         
CONF157       -56.761146          3.30          -2572.684789          4.72           -5.649503         -2572.693792          3.23                0.02         
CONF158       -56.762315          2.57          -2572.688526          2.37           -4.916146         -2572.696360          1.62                0.25         
CONF159       -56.761110          3.32          -2572.684815          4.70           -5.670125         -2572.693851          3.20                0.02         
CONF160       -56.759492          4.34          -2572.682086          6.41           -6.684033         -2572.692738          3.90                0.01         
CONF161       -56.764195          1.39          -2572.692305          0.00           -3.730439         -2572.698250          0.44                1.87         
CONF162       -56.760879          3.47          -2572.684700          4.77           -5.809550         -2572.693958          3.13                0.02         
CONF163       -56.761037          3.37          -2572.684783          4.72           -5.707176         -2572.693878          3.18                0.02         
CONF164       -56.761487          3.09          -2572.685258          4.42           -5.415960         -2572.693889          3.17                0.02         
CONF165       -56.764105          1.45          -2572.691882          0.27           -3.772200         -2572.697893          0.66                1.28         
CONF166       -56.760057          3.99          -2572.683954          5.24           -6.320753         -2572.694027          3.09                0.02         
CONF167       -56.761394          3.15          -2572.685255          4.42           -5.468971         -2572.693970          3.12                0.02         
CONF168       -56.760936          3.43          -2572.684638          4.81           -5.753868         -2572.693807          3.22                0.02         
CONF169       -56.761362          3.17          -2572.685168          4.48           -5.484066         -2572.693907          3.16                0.02         
CONF170       -56.761357          3.17          -2572.685042          4.56           -5.486368         -2572.693785          3.24                0.02         
CONF171       -56.761342          3.18          -2572.684964          4.61           -5.488089         -2572.693709          3.29                0.02         
CONF172       -56.760467          3.73          -2572.685980          3.97           -6.020597         -2572.695574          2.12                0.11         
CONF173       -56.760118          3.95          -2572.683462          5.55           -6.223082         -2572.693379          3.49                0.01         
CONF174       -56.760127          3.94          -2572.683446          5.56           -6.215512         -2572.693351          3.51                0.01         
CONF175       -56.760058          3.98          -2572.683850          5.31           -6.252561         -2572.693814          3.22                0.02         
CONF176       -56.760160          3.92          -2572.683181          5.73           -6.187432         -2572.693041          3.70                0.01         
CONF178       -56.761883          2.84          -2572.688494          2.39           -5.075132         -2572.696582          1.48                0.32         
CONF179       -56.761852          2.86          -2572.688758          2.23           -5.090614         -2572.696871          1.30                0.44         
CONF180       -56.761980          2.78          -2572.687350          3.11           -5.007201         -2572.695329          2.27                0.09         
CONF181       -56.762023          2.75          -2572.687182          3.21           -4.968861         -2572.695101          2.41                0.07         
CONF182       -56.761804          2.89          -2572.688586          2.33           -5.114883         -2572.696737          1.39                0.38         
CONF183       -56.761863          2.85          -2572.687576          2.97           -5.069569         -2572.695655          2.06                0.12         
CONF184       -56.760773          3.54          -2572.687255          3.17           -5.751994         -2572.696421          1.58                0.27         
CONF185       -56.760761          3.54          -2572.687284          3.15           -5.757879         -2572.696459          1.56                0.28         
CONF186       -56.759760          4.17          -2572.685754          4.11           -6.384244         -2572.695928          1.89                0.16         
CONF187       -56.759749          4.18          -2572.685786          4.09           -6.390623         -2572.695970          1.87                0.17         
CONF188       -56.761794          2.90          -2572.687705          2.89           -5.103925         -2572.695839          1.95                0.15         
CONF189       -56.760079          3.97          -2572.685569          4.23           -6.177759         -2572.695413          2.22                0.09         
CONF190       -56.761726          2.94          -2572.688801          2.20           -5.142365         -2572.696996          1.22                0.50         
CONF191       -56.761694          2.96          -2572.688748          2.23           -5.160237         -2572.696971          1.24                0.48         
CONF193       -56.760001          4.02          -2572.684882          4.66           -6.214812         -2572.694786          2.61                0.05         
CONF195       -56.761651          2.99          -2572.685216          4.45           -5.175134         -2572.693463          3.44                0.01         
CONF196       -56.761736          2.93          -2572.685329          4.38           -5.110093         -2572.693473          3.43                0.01         
