 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -56.773993          ---           -2575.214117       -0.008342        ---         -2575.222459          3.85                0.01         
 CONF2        -56.773634          ---           -2575.214485       -0.008497        ---         -2575.222982          3.52                0.02         
 CONF3        -56.773280          ---           -2575.215236       -0.008602        ---         -2575.223837          2.98                0.04         
 CONF4        -56.773210          ---           -2575.214103       -0.008878        ---         -2575.222981          3.52                0.02         
 CONF5        -56.773183          ---           -2575.212184       -0.009411        ---         -2575.221594          4.39                0.00         
 CONF6        -56.773121          ---           -2575.214809       -0.008689        ---         -2575.223497          3.20                0.03         
 CONF9        -56.772859          ---           -2575.211955       -0.009799        ---         -2575.221754          4.29                0.00         
CONF11        -56.772828          ---           -2575.216470       -0.008560        ---         -2575.225030          2.23                0.14         
CONF13        -56.772619          ---           -2575.213842       -0.009483        ---         -2575.223325          3.30                0.02         
CONF15        -56.772506          ---           -2575.216124       -0.008934        ---         -2575.225058          2.22                0.15         
CONF16        -56.772356          ---           -2575.211943       -0.009604        ---         -2575.221547          4.42                0.00         
CONF17        -56.772350          ---           -2575.216281       -0.007423        ---         -2575.223703          3.07                0.03         
CONF18        -56.772308          ---           -2575.212008       -0.009846        ---         -2575.221853          4.23                0.00         
CONF19        -56.772230          ---           -2575.211571       -0.010548        ---         -2575.222119          4.06                0.01         
CONF20        -56.772228          ---           -2575.211603       -0.010533        ---         -2575.222137          4.05                0.01         
CONF21        -56.772225          ---           -2575.214420       -0.009232        ---         -2575.223653          3.10                0.03         
CONF22        -56.772220          ---           -2575.218280       -0.007648        ---         -2575.225927          1.67                0.37         
CONF23        -56.772218          ---           -2575.214507       -0.009184        ---         -2575.223691          3.07                0.03         
CONF24        -56.772217          ---           -2575.218069       -0.007650        ---         -2575.225719          1.80                0.29         
CONF25        -56.772211          ---           -2575.212752       -0.009186        ---         -2575.221938          4.17                0.01         
CONF26        -56.772212          ---           -2575.212760       -0.009212        ---         -2575.221972          4.15                0.01         
CONF27        -56.772142          ---           -2575.215175       -0.009533        ---         -2575.224708          2.44                0.10         
CONF29        -56.772053          ---           -2575.214585       -0.008301        ---         -2575.222886          3.58                0.01         
CONF30        -56.772033          ---           -2575.214680       -0.008184        ---         -2575.222863          3.59                0.01         
CONF31        -56.772026          ---           -2575.214668       -0.008040        ---         -2575.222708          3.69                0.01         
CONF32        -56.772020          ---           -2575.214709       -0.007972        ---         -2575.222681          3.71                0.01         
CONF33        -56.772016          ---           -2575.214683       -0.007930        ---         -2575.222613          3.75                0.01         
CONF34        -56.772012          ---           -2575.214702       -0.007891        ---         -2575.222592          3.76                0.01         
CONF35        -56.772000          ---           -2575.214724       -0.007874        ---         -2575.222598          3.76                0.01         
